Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
GOODHOME MAX SCRUBBER,0,861,138,81,228,129,174,222,129,60,276,0
GOODHOME ODOUR REMOVER AQUA FRESH 160GMS,3,0,0,0,0,0,0,0,0,0,0,0
GOODHOME OR MEMORIES OF SPRING,6,0,0,0,0,0,0,0,0,0,0,0
GOODHOME RF FLORAL 130GM,486,0,600,0,600,0,0,0,600,0,0,0
GOODHOME ROOM FRESHNER JASMINE 130G 160/,4,144,0,0,0,0,0,0,0,0,0,0
GOODHOME ROOM FRESHNER LAVENDER 130G,485,288,600,0,600,0,0,0,600,0,0,0
GOODHOME ROOM FRESHNER LEMON 130G 160/-,3,0,0,0,0,0,0,0,0,0,0,0
GOODHOME ROOM FRESHNER ROSE 130G 160/-,6,0,0,0,600,0,1,0,600,0,0,0
GOODHOME ROOM FRESHNER SANDAL 130G 160/-,0,0,0,0,600,0,0,0,600,0,0,0
GOODHOME SCRUB PAD 2 IN 1 B2G1 60/-,84,191,72,36,108,60,108,120,48,36,120,0
GOODHOME SCRUB PAD 2+1 30/-,0,96,0,144,48,0,0,0,0,0,0,0
GOODHOME SCRUB PAD 2-IN-1  30/-,180,239,175,96,252,0,144,252,125,288,204,0
GOODHOME SCRUB PAD LARGE COMBI 60//,264,228,72,72,115,72,132,144,120,24,72,0
GOODHOME SCRUB PAD TOUGH 7.5 X 7.5,0,0,144,0,0,0,144,0,0,0,0,0
GOODHOME SCRUB PAD Xtra Tough 2+1 60/-,108,96,40,36,0,0,0,40,0,0,0,0
GOODHOME SCRUB PAD XTRA TOUGH 7.5 X 10,0,0,0,0,0,0,144,0,0,120,0,0
GOODHOME SS SCRUBBER,576,2064,231,120,480,336,552,696,288,288,576,0
GOODHOME SS SCRUBBER 11G 2+1 30/-,432,501,99,78,285,86,234,309,204,84,264,0
GOODHOME SS SCRUBBER 2+1,48,512,96,120,300,96,252,336,161,192,294,0
GOODHOME ULTRA SCRUBBER,0,249,84,60,132,60,96,144,96,60,120,0
GOODHOME Unbox Drain Cleanser 50g,24,372,132,108,204,108,192,192,84,48,156,0
HR  All In One 200G*20 65/-,0,0,0,0,0,0,0,50,43,0,0,0
HR  Aloo Bhujia  200G*50 65/-,0,0,0,0,0,0,0,50,4,0,0,0
HR  Aloo Bhujia  400G*25 120/-,0,0,0,0,0,0,0,0,3,0,0,0
HR  Badam Luchha 200G*40 102/-,0,0,0,0,0,0,0,40,0,0,0,0
HR  Besan Ladoo 500G*10 280/-,0,0,0,0,0,0,0,200,143,0,0,0
HR  BHELPURI 40G*276 10/-,0,0,0,0,0,0,0,276,0,0,0,0
HR  BHUJIA  36G*360 10/-,0,0,0,0,0,0,0,360,0,0,0,0
HR  Bhujia  400G*30 130/-,0,0,0,0,0,0,0,0,55,0,0,0
HR  Bhujia 1000G*12 300/-,0,0,0,0,0,0,0,0,56,0,0,0
HR  BOMBAY MIX  400G*30 120/-,0,0,0,0,0,0,0,0,30,0,0,0
HR  Cornflakes 200G*40 80/-,0,0,0,0,0,0,0,40,0,0,0,0
HR  CORNFLAX 36G*276 10/-,0,0,0,0,0,0,0,0,3,0,0,0
HR  DD Soan Papdi 1Kg*10 430/-,0,0,0,0,0,0,0,1040,0,0,0,0
HR  Desi Ghee Soan Papdi 500G*20 360/-,0,0,0,0,0,0,0,78,5,0,0,0
HR  DOUBLE MAZZA 38G*360 10/-,0,0,0,0,0,0,0,0,3,0,0,0
HR  ELACHI SOAN PAPDI 500G*20 155/-,0,0,0,0,0,0,0,0,200,0,0,0
HR  GULAB JAMUN 1Kg*12 300/-,0,0,0,0,0,0,0,36,3,0,0,0
HR  HARA MATTER 38G*360 10/-,0,0,0,0,0,0,0,360,0,0,0,0
HR  KAJU MIXTURE 24G*300 10/-,0,0,0,0,0,0,0,0,3,0,0,0
HR  Kashmiri Mix 400G*40 180/-,0,0,0,0,0,0,0,0,40,0,0,0
HR  Khatta Meetha 200G*50 65/-,0,0,0,0,0,0,0,50,0,0,0,0
HR  Kismish Phalhari Mixure 150G*50 65/-,0,0,0,0,0,0,0,50,38,0,0,0
HR  Massala Aloo Chips 200G*20 78/-,0,0,0,0,0,0,0,60,54,0,0,0
HR  Moong Dal 36G*300 10/-,0,0,0,0,0,0,0,300,60,0,0,0
HR  Moong Dal 400G*40 135/-,0,0,0,0,0,0,0,0,38,0,0,0
HR  Navrattan  200G*50 65/-,0,0,0,0,0,0,0,0,4,0,0,0
HR  Navrattan  400G*30 120/-,0,0,0,0,0,0,0,60,3,0,0,0
HR  Navrattan 36G*360 10/-,0,0,0,0,0,0,0,360,0,0,0,0
HR  Nut Cracker 200G*20 68/-,0,0,0,0,0,0,0,50,0,0,0,0
HR  NUT CRACKER 38G*360 10/-,0,0,0,0,0,0,0,360,0,0,0,0
HR  OCASSION KHUSHIYAN 800G*10 435/-,0,0,0,0,0,0,0,16,44,0,0,0
HR  POOJA BHOGH 2.4Kg*6 750/-,0,0,0,0,0,0,0,8,32,0,0,0
HR  Prem Soan Papdi 500G*20 225/-,0,0,0,0,0,0,0,280,0,0,0,0
HR  RASSGULLA 1Kg*12 300/-,0,0,0,0,0,0,0,36,0,0,0,0
HR  Ratnami Sev 200G*50 68/-,0,0,0,0,0,0,0,50,42,0,0,0
HR  Rose Soan Papdi 500G*20 240/-,0,0,0,0,0,0,0,0,40,0,0,0
HR  S FREE SOAN PAPDI 500G*20 410/-,0,0,0,0,0,0,0,40,0,0,0,0
