Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
EVA FRESH  LIPS MINI LIP BAIM 1.2 GM,0.0,0.0,0.0,0.0,0.0,0.0,102.0,45.0,0.0,0.0,0.0,0.0,147.0
EVA FRESH  LIPS RASPERRY 4.5 gm,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
EVA FRESH  LIPS ROSE 4.5 GM,118.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,0.0,0.0,0.0,164.0
EVA FRESH  LIPS STRAWBERRY+ Rose 4.5 GM,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,101.0
EVA LIP BALM GREEN APPLE 9 GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
EVA SPORTS DEO COMBI 125ML 150/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVA SPORTZ FITNESS DEO - BOUNCE 125ML,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVA SPORTZ FITNESS DEO - RUSH 125ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVA SPORTZ FITNESS DEO - SKIP 125ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVA TALC 50G  SANDAL,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
FAH Laser Adv Whitening Cream 60 gm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FAH Oilclear Face Wash 100 gm,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
FAH Oilclear Face Wash 50 gm,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
FAH Pimple Clear F. Wash 50 gm,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
FAH Winter Cream 30 gm,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
FAH Winter Cream 60 gm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fair & Handsome 30 gm,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Fair & Handsome 60 gm,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
FRIENDS ADULT DIAPERS EASY LARGE PP 10p,0.0,0.0,0.0,0.0,0.0,66.0,0.0,38.0,25.0,33.0,15.0,103.0,280.0
FRIENDS ADULT DIAPERS EASY MEDIUM PP 10p,0.0,0.0,0.0,0.0,0.0,66.0,0.0,26.0,30.0,61.0,16.0,63.0,262.0
FRIENDS ADULT DIAPERS EASY XTRA LARGE PP,0.0,0.0,0.0,0.0,0.0,30.0,0.0,26.0,24.0,12.0,4.0,44.0,140.0
FRIENDS ADULT DIAPERS PULL UPS XL PP 10P,0.0,0.0,0.0,0.0,0.0,30.0,0.0,24.0,10.0,47.0,94.0,193.0,398.0
FRIENDS ADULT DPRS HOSPITAL MEDIUM PP 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0
FRIENDS ADULT DPRS PULL UPS LARGE PP 10P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,48.0,8.0,72.0,176.0
FRIENDS ADULT DPRS PULL UPS MEDIUM PP 10,0.0,0.0,0.0,0.0,0.0,66.0,0.0,26.0,28.0,97.0,87.0,191.0,495.0
FRIENDS UNDER PAD CLASSIC 10S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0
FRU ASSORTED JELLY GIFT BOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,72.0,0.0,600.0,0.0,696.0
FRU ASSORTED JELLY POUCH  (3.6x100),0.0,0.0,0.0,0.0,0.0,145.0,55.0,38.0,110.0,0.0,40.0,0.0,388.0
FRU ASSORTED JELLY POUCH  (3.6X30),0.0,0.0,0.0,0.0,0.0,570.0,200.0,146.0,450.0,0.0,700.0,0.0,2066.0
GOODHOME AFR (3+1) 50g 120/-,156.0,144.0,93.0,125.0,48.0,30.0,26.0,0.0,24.0,30.0,12.0,24.0,712.0
GOODHOME AFR (3+1) 75g 165/-,108.0,96.0,60.0,84.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,372.0
GOODHOME AFR DREAMS OF DEW 50G,83.0,96.0,48.0,84.0,79.0,0.0,0.0,24.0,101.0,0.0,0.0,0.0,515.0
GOODHOME AFR DREAMS OF DEW 75G,132.0,68.0,12.0,90.0,33.0,13.0,16.0,24.0,0.0,0.0,12.0,0.0,400.0
GOODHOME AFR FLORAL FANTACY 50,144.0,120.0,84.0,60.0,0.0,0.0,0.0,24.0,0.0,0.0,12.0,0.0,444.0
GOODHOME AFR FLORAL FANTACY 75,77.0,94.0,82.0,82.0,10.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,365.0
GOODHOME AFR Rose 55/,12.0,12.0,0.0,1.0,12.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,60.0
GOODHOME AFR WHISPERS OF PASSION,156.0,132.0,60.0,96.0,0.0,0.0,0.0,24.0,0.0,0.0,12.0,0.0,480.0
GOODHOME AFR WHISPERS OF PASSION 55/,120.0,120.0,76.0,36.0,6.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,382.0
GOODHOME Drain Cleanser 50g,205.0,345.0,268.0,248.0,406.0,235.0,275.0,260.0,178.0,304.0,135.0,122.0,2981.0
GOODHOME O MAX SCRUBBER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,36.0,0.0,744.0
GOODHOME RF Dream of Dew Lavender 160GMS,28.0,92.0,45.0,28.0,48.0,54.0,42.0,82.0,50.0,33.0,17.0,39.0,558.0
GOODHOME RF FLORAL Fantacy,18.0,64.0,33.0,26.0,34.0,1.0,44.0,40.0,17.0,41.0,32.0,11.0,361.0
GOODHOME RF JASMINE 160GMS,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,29.0
