Item Details,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
29932 Happilo Dry Fruit BarFi GB 240G,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0
BABA BHUJIA SF ACHARI MANGO-30GM,0.0,0.0,0.0,0.0,170.0,0.0,600.0,0.0,0.0,0.0,0.0,0
BABA BHUJIA SF CRUNCHY VEGGIES-30GM,0.0,0.0,0.0,0.0,170.0,0.0,600.0,0.0,600.0,0.0,0.0,0
BABA BHUJIA SF MIX S BUNDI-30GM,0.0,0.0,0.0,0.0,170.0,200.0,300.0,0.0,600.0,0.0,0.0,0
BABA BHUJIA SF PUDINA MASALA-30GM,0.0,0.0,0.0,0.0,170.0,0.0,300.0,0.0,0.0,0.0,0.0,0
Baba Elaichi Silver Coated 10 g,530.0,385.0,0.0,30.0,70.0,105.0,130.0,95.0,225.0,99.0,150.0,0
Baba Elaichi Silver Coated 6 g,50.0,70.0,60.0,60.0,100.0,50.0,90.0,70.0,90.0,100.0,20.0,0
BABA FRU ASSORTED JELLY JAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BABA FRU ASSORTED JELLY POUCH (3.6x100),30.0,0.0,0.0,30.0,0.0,0.0,30.0,29.0,30.0,60.0,0.0,0
BABA FRU ASSORTED JELLY POUCH (3.6X30),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BABA GEL & JELLY ASSORTED FUN PACK 3*4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
BABA KABULI CHANNA SF HING JEERA-30GM,0.0,0.0,0.0,0.0,170.0,200.0,0.0,0.0,0.0,0.0,0.0,0
BABA KABULI CHANNA SF LEMON CHILLI-30GM,0.0,0.0,0.0,0.0,170.0,200.0,0.0,0.0,0.0,0.0,0.0,0
BABA KABULI CHANNA SF PLAIN SALTED-30GM,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BABA KABULI CHANNA SF PUDINA MASALA-30GM,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BABA LIQUID LIFE NAT. MINERAL WATER 15L,25.0,28.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BABA LIQUID LIFE NAT. MINERAL WATER 1L,900.0,1044.0,900.0,792.0,1260.0,575.0,636.0,312.0,744.0,372.0,192.0,0
BABA LIQUID LIFE NAT. MINERAL WATER 200,168.0,168.0,216.0,72.0,312.0,72.0,192.0,72.0,168.0,72.0,0.0,0
BABA MAKHANA ACHARI MANGO TWIST - 16GM,593.0,682.0,2250.0,2357.0,2560.0,2830.0,3320.0,1860.0,1934.0,2055.0,900.0,0
BABA MAKHANA ACHARI MANGO TWIST - 75 GM,72.0,38.0,0.0,24.0,48.0,0.0,19.0,24.0,0.0,0.0,0.0,0
BABA MAKHANA CHEESY GARLIC TWIST - 16 GM,0.0,180.0,1620.0,1440.0,630.0,900.0,720.0,1440.0,1530.0,1260.0,720.0,0
