Item Details,Unit,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total Qty.
EVA DEO SPRAY DOLL 125ML,PCS,1509,51,12,1806,609,12,9,1215,12,0,6,0,5241
EVA DEO SPRAY DOLL Mini 40ML,PCS,0,0,0,360,0,0,0,0,0,0,0,0,360
EVA DEO SPRAY FLIRT 125ML,PCS,15,15,0,0,0,6,0,0,12,6,9,0,63
EVA DEO SPRAY FRESH Mini 40ML,PCS,0,0,0,360,0,0,0,0,0,0,0,0,360
EVA DEO SPRAY SWEET 125ML,PCS,24,21,6,3,3,6,6,6,6,3,0,0,84
EVA DEO SPRAY URBANE 150ML,PCS,0,24,0,0,0,0,0,12,0,0,0,0,36
EVA DEO SPRAY WILD 125ML,PCS,1527,12,21,603,600,0,3,1212,18,0,3,0,3999
EVA DEO SPRAY WILD Mini 40ML,PCS,0,0,0,360,0,0,0,0,0,0,0,0,360
EVA DEO TALC FRESH 100GMS,PCS,58,33,0,0,0,0,1,0,0,0,0,0,92
EVA DEO TALC FRESH 400GMS,PCS,36,12,0,0,0,0,0,0,0,0,0,0,48
EVA DEO TALC SWEET 100GMS,PCS,58,33,0,0,0,0,1,0,0,0,0,0,92
EVA DEO TALC SWEET 400GMS,PCS,36,2,0,0,0,0,0,0,0,0,0,0,38
EVA SHINE DEO ROLL ON 50ML,PCS,0,0,0,0,0,0,0,0,6,6,48,0,60
EVA SOFT DEO ROLL ON 50ML,PCS,0,0,0,0,0,0,0,0,6,0,54,0,60
EVA SPLASH DEO ROLL ON 50ML,PCS,0,0,0,0,0,0,0,0,6,6,51,0,63
FRIENDS ADULT DIAPER PREM LARGE 10S,PCS,0,0,6,0,0,0,0,0,0,8,0,0,14
FRIENDS ADULT DIAPER PREM XL 10S,PCS,184,0,0,0,0,0,0,0,0,0,0,0,184
FRIENDS ADULT DIAPERS EASY LARGE PP 10p,PCS,24,-7,0,-12,12,192,24,60,36,24,24,0,377
FRIENDS ADULT DIAPERS EASY MEDIUM PP 10p,PCS,0,0,1,-10,0,482,12,4,53,24,36,0,602
FRIENDS ADULT DIAPERS EASY XTRA LARGE PP,PCS,276,49,0,0,0,8,0,7,0,0,0,0,340
FRIENDS ADULT DIAPERS ECO LARGE 10s*12,PCS,0,0,0,0,0,0,0,0,0,0,12,0,12
FRIENDS ADULT DIAPERS ECO XL 10s*12,PCS,0,0,0,0,0,12,6,5,0,0,0,0,23
FRIENDS ADULT DIAPERS OVERNIGHT XL 10S*8,PCS,0,0,0,0,0,0,0,0,0,16,0,0,16
FRIENDS ADULT DIAPERS PANTS PREM L10s,PCS,29,9,5,7,0,328,8,22,16,8,17,0,449
FRIENDS ADULT DIAPERS PANTS PREM M10s,PCS,28,12,7,18,0,152,136,40,30,38,24,0,485
FRIENDS ADULT DIAPERS PANTS PREM XL10s,PCS,77,0,8,14,0,0,8,8,6,0,0,0,121
FRIENDS ADULT DRY PANTS LARGE 10P,PCS,0,0,0,0,0,0,24,0,48,0,0,0,72
FRIENDS ADULT DRY PANTS MEDIUM 10'S,PCS,0,0,8,0,0,140,0,0,0,0,0,0,148
FRIENDS ADULT PANTS CLASSIC LARGE 10*8,PCS,16,0,8,8,8,0,0,0,0,0,6,0,46
FRIENDS ADULT PANTS CLASSIC MEDIUM 10*8,PCS,0,0,0,8,0,8,0,0,8,6,0,0,30
FRIENDS ADULT PANTS CLASSIC XL 10*8,PCS,0,0,8,8,8,0,0,0,0,6,0,0,30
FRIENDS ADULT PANTS OVERNIGHT M10S*8,PCS,0,0,8,0,0,8,0,0,0,0,0,0,16
FRIENDS ADULT PANTS OVERNIGHT XL 10*8,PCS,0,0,0,0,0,0,0,0,0,8,0,0,8
GH AFR (3+1) 50g 135/-,PCS,0,0,0,0,0,0,0,0,6,6,0,0,12
GH AFR (3+1) 75g 195/-,PCS,0,0,0,0,0,0,0,0,6,6,0,0,12
GH AFR AROMA PERF CITRUS 10G 60/-,PCS,24,0,24,144,0,0,0,0,0,0,0,0,192
GH AFR AROMA PERF JASMINE 10G 60/-,PCS,30,8,8,16,0,0,6,0,0,8,0,0,76
GH AFR AROMA PERF LAVENDER 10G 60/-,PCS,144,24,0,144,0,0,7,0,0,144,0,0,463
GH AFR AROMA PERF ROSE 10G 60/-,PCS,48,16,6,14,0,4,0,4,0,6,0,0,98
GOODHOME AIR FRESHNER JASMINE 50G 50/-,PCS,0,6,6,0,6,0,6,4,0,12,4,0,44
GOODHOME AIR FRESHNER JASMINE 75G 85/,PCS,0,4,0,0,0,0,6,0,0,4,0,0,14
GOODHOME AIR FRESHNER LAVENDER 75G 85/-,PCS,0,0,0,60,0,0,0,0,0,0,0,0,60
GOODHOME AIR FRESHNER ROSE 50G 50/-,PCS,0,0,0,0,0,0,6,0,0,0,0,0,6
GOODHOME Drain Cleanser B3G1 50g,PCS,12,135,63,36,93,36,78,81,45,27,57,0,663
GOODHOME GLASS & MS CLEANER 500ML,PCS,0,0,0,0,0,0,0,0,6,0,6,0,12
GOODHOME MAX SCRUBBER,PCS,0,861,138,81,228,129,174,222,129,60,276,0,2298
GOODHOME ODOUR REMOVER AQUA FRESH 160GMS,PCS,3,0,0,0,0,0,0,0,0,0,0,0,3
GOODHOME OR MEMORIES OF SPRING,PCS,6,0,0,0,0,0,0,0,0,0,0,0,6
GOODHOME RF FLORAL 130GM,PCS,486,0,600,0,600,0,0,0,600,0,0,0,2286
GOODHOME ROOM FRESHNER JASMINE 130G 160/,PCS,4,144,0,0,0,0,0,0,0,0,0,0,148
GOODHOME ROOM FRESHNER LAVENDER 130G,PCS,485,288,600,0,600,0,0,0,600,0,0,0,2573
GOODHOME ROOM FRESHNER LEMON 130G 160/-,PCS,3,0,0,0,0,0,0,0,0,0,0,0,3
GOODHOME ROOM FRESHNER ROSE 130G 160/-,PCS,6,0,0,0,600,0,1,0,600,0,0,0,1207
GOODHOME ROOM FRESHNER SANDAL 130G 160/-,PCS,0,0,0,0,600,0,0,0,600,0,0,0,1200
GOODHOME SCRUB PAD 2 IN 1 B2G1 60/-,PCS,84,191,72,36,108,60,108,120,48,36,120,0,983
GOODHOME SCRUB PAD 2+1 30/-,PCS,0,96,0,144,48,0,0,0,0,0,0,0,288
GOODHOME SCRUB PAD 2-IN-1  30/-,PCS,180,239,175,96,252,0,144,252,125,288,204,0,1955
GOODHOME SCRUB PAD LARGE COMBI 60//,PCS,264,228,72,72,115,72,132,144,120,24,72,0,1315
GOODHOME SCRUB PAD TOUGH 7.5 X 7.5,PCS,0,0,144,0,0,0,144,0,0,0,0,0,288
GOODHOME SCRUB PAD Xtra Tough 2+1 60/-,PCS,108,96,40,36,0,0,0,40,0,0,0,0,320
GOODHOME SCRUB PAD XTRA TOUGH 7.5 X 10,PCS,0,0,0,0,0,0,144,0,0,120,0,0,264
GOODHOME SS SCRUBBER,PCS,576,2064,231,120,480,336,552,696,288,288,576,0,6207
GOODHOME SS SCRUBBER 11G 2+1 30/-,PCS,432,501,99,78,285,86,234,309,204,84,264,0,2576
GOODHOME SS SCRUBBER 2+1,PCS,48,512,96,120,300,96,252,336,161,192,294,0,2407
GOODHOME ULTRA SCRUBBER,PCS,0,249,84,60,132,60,96,144,96,60,120,0,1101
GOODHOME Unbox Drain Cleanser 50g,PCS,24,372,132,108,204,108,192,192,84,48,156,0,1620
HR  All In One 200G*20 65/-,PCS,0,0,0,0,0,0,0,50,43,0,0,0,93
HR  Aloo Bhujia  200G*50 65/-,PCS,0,0,0,0,0,0,0,50,4,0,0,0,54
HR  Aloo Bhujia  400G*25 120/-,PCS,0,0,0,0,0,0,0,0,3,0,0,0,3
HR  Badam Luchha 200G*40 102/-,PCS,0,0,0,0,0,0,0,40,0,0,0,0,40
HR  Besan Ladoo 500G*10 280/-,PCS,0,0,0,0,0,0,0,200,143,0,0,0,343
