Item Details,Unit,Apr,Amt.,May,Amt.,Jun,Amt.,Jul,Amt.,Aug,Amt.,Sep,Amt.,Oct,Amt.,Nov,Amt.,Dec,Amt.,Jan,Amt.,Feb,Amt.,Mar,Amt.,Total Qty.,Total Amt.
Cremica Mix Fruit Jam 480gm,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,4177.92,48.00,4177.28,12.00,1044.36,60.00,4861.84,816.00,47434.68,984.00,61696.08
CREMICA PIRI PIRI SAUCE 400 GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,2079.23,12.00,1084.82,6.00,542.46,48.00,4339.20,0.00,0.00,89.00,8045.71
CREMICA PIZZA PASTA SAUCE 200gm,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,1210.18,0.00,0.00,0.00,0.00,12.00,491.78,0.00,0.00,42.00,1701.96
CREMICA PIZZA PASTA SAUCE 300gm,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,2070.38,12.00,699.12,114.00,6640.59,44.00,2579.82,205.00,11989.91
CREMICA PUDINA CHATAKA 460g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1746.06,12.00,778.72,12.00,924.00,0.00,0.00,32.00,2076.48,80.00,5525.26
CREMICA RUSIAN SALAD DRESSING 350g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,1747.76,6.00,582.58,0.00,0.00,12.00,1071.96,12.00,1165.20,48.00,4567.50
CREMICA SAND SPR CHEESE,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,1932.55,35.00,2037.93,335.00,18143.01,447.00,24102.57,850.00,46216.06
CREMICA SAND SPR CLASSIC,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,699.12,240.00,12861.60,192.00,10291.20,444.00,23851.92
CREMICA SAND SPR PIRI PIRI,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1398.20,12.00,699.10,36.00,2097.36,48.00,2740.44,12.00,699.12,132.00,7634.22
CREMICA SAND SPR TANDOORI 270GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,1048.66,5.00,291.29,0.00,0.00,36.00,2041.32,204.00,10990.32,263.00,14371.59
CREMICA SNACK DRES TOMBO 1.2KG      ,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,19285.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,19285.72
CREMICA TARTAR  MAYO,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,699.10,3.00,174.78,24.00,1398.24,0.00,0.00,39.00,2272.12
CREMICA THOU ISLA DRESSING 275,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,349.56,18.00,1048.66,0.00,0.00,12.00,643.08,12.00,699.00,48.00,2740.30
CREMICA THOU ISLAND SALAD DRESSING 350g,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,582.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,582.58
CREMICA TOM KETCHUP GB 950GM     ,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,2583.32,48.00,4982.58,972.00,63515.96,324.00,19797.42,300.00,23331.60,1668.00,114210.88
CREMICA TOM KETCHUP SQUEASY 950GM     ,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,7485.00,3948.00,245281.84,324.00,27554.46,780.00,48618.31,1128.00,80781.58,4308.00,251515.88,4389.00,222072.68,14997.00,883309.75
CREMICA TOMATO KETCHUP 450 GM,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,9981.00,0.00,0.00,180.00,9981.00
CREMICA TOMATO KETCHUP SACHET 8G*100,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,13392.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,13392.86
CREMICA TOMATO SAUCE TOMBO 8G*100      ,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,15625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,15625.00
Cremica Veg Mayo Squeeze  900gm,PCS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,14320.36,-7.00,-836.74,103.00,12216.04,76.00,8948.50,645.00,75650.98,1073.00,86320.81,48.00,5625.12,2068.00,202245.07
Denver Deo Blackcode 100G 199/-,PCS,17.00,2006.68,138.00,16291.02,27.00,3187.40,550.00,64351.60,600.00,70182.06,59.00,6965.02,22.00,2597.08,72.00,8499.60,612.00,71526.60,24.00,2724.96,659.00,77074.95,0.00,0.00,2780.00,325406.97
Denver Deo BlueSport 100G 199/-,PCS,0.00,0.00,0.00,0.00,-52.00,-6138.64,531.00,62108.62,6.00,708.30,600.00,70110.00,-12.00,-1416.62,36.00,4249.80,611.00,71408.54,36.00,4249.80,480.00,56088.00,36.00,4249.80,2272.00,265617.60
Denver Deo Caliber 105gm 210/-,PCS,24.00,2989.80,483.00,56327.00,29.00,3612.72,114.00,14201.74,48.00,5979.68,15.00,1868.64,0.00,0.00,28.00,3488.24,23.00,2865.34,24.00,2989.92,24.00,2989.92,60.00,7474.80,872.00,104787.80
Denver Deo Caliber 127gm 249/-,PCS,1.00,158.27,0.00,0.00,0.00,0.00,360.00,50533.20,480.00,67377.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,684.00,96152.04,360.00,50533.20,0.00,0.00,1885.00,264754.31
Denver Deo Hamilton 105gm 210/-,PCS,486.00,60544.02,354.00,44100.54,295.00,36750.04,477.00,59422.94,423.00,52695.78,333.00,41483.90,204.00,25413.80,234.00,25591.96,204.00,24396.92,372.00,43139.64,300.00,34170.00,240.00,29899.20,3922.00,477608.74
Denver Deo Hamilton 127gm 249/-,PCS,94.00,13884.98,366.00,46584.68,480.00,67377.60,606.00,85108.28,6.00,886.28,733.00,102923.70,24.00,3545.08,18.00,2116.22,646.00,90894.56,744.00,104574.24,900.00,126333.00,0.00,0.00,4617.00,644228.62
Denver Deo Honour 105gm 210/-,PCS,695.00,86580.31,608.00,75742.52,601.00,74870.32,693.00,86331.38,642.00,79978.04,627.00,78109.26,855.00,106512.70,443.00,46157.78,676.00,75205.38,381.00,43246.34,435.00,49332.90,371.00,46219.18,7027.00,848286.11
Denver Deo Honour 127gm 249/-,PCS,0.00,0.00,360.00,45698.40,0.00,0.00,360.00,50533.20,0.00,0.00,1.00,84.74,0.00,0.00,0.00,0.00,480.00,67377.60,24.00,3507.84,0.00,0.00,59.00,8714.89,1284.00,175916.67
Denver Deo Imperial 105gm 210/-,PCS,800.00,99660.89,1239.00,150506.54,837.00,104270.34,843.00,105017.80,840.00,104644.06,657.00,81846.58,1050.00,130804.98,646.00,67482.08,756.00,83539.78,564.00,60223.84,1008.00,113187.84,797.00,99289.90,10037.00,1200474.63
Denver Deo Imperial 127gm 249/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,360.00,50533.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,3507.84,0.00,0.00,0.00,0.00,384.00,54041.04
Denver Deo Original 150ml 199/-,PCS,18.00,2124.72,39.00,4603.98,0.00,0.00,540.00,63171.08,600.00,70110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,56088.00,0.00,0.00,1677.00,196097.78
Denver Deo Prestige 105gm 210/-,PCS,0.00,0.00,360.00,41004.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,3507.84,0.00,0.00,0.00,0.00,384.00,44511.84
Denver Deo Pride 105gm 210/-,PCS,901.00,112260.86,819.00,102028.18,784.00,97830.90,695.00,86580.52,851.00,106014.42,599.00,74621.14,951.00,118472.20,579.00,60269.72,750.00,83153.38,482.00,53372.52,677.00,76123.59,768.00,95677.44,8856.00,1066404.87
Denver Deo Pride 127gm 249/-,PCS,0.00,0.00,360.00,45698.40,0.00,0.00,360.00,50533.20,0.00,0.00,480.00,67377.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,67377.60,6.00,886.26,1686.00,231873.06
Denver Deo Royal Oud 150ml 210/-,PCS,0.00,0.00,360.00,41004.00,0.00,0.00,480.00,58276.80,480.00,58276.80,0.00,0.00,0.00,0.00,0.00,0.00,600.00,72846.00,0.00,0.00,360.00,43707.60,0.00,0.00,2280.00,274111.20
Denver Deo Xtreme Endurance 100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,6.00,708.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,708.30
Denver Deo Xtreme Performance100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,6.00,708.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,708.30
Denver Deo Xtreme Reverence 100G 199/-,PCS,0.00,0.00,0.00,0.00,0.00,0.00,6.00,708.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,708.30
Denver Perfume Blackcode 60ml 249/-,PCS,0.00,0.00,360.00,44632.80,480.00,67377.60,480.00,67377.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00,101066.40,0.00,0.00,2040.00,280454.40
Denver Perfume Hamilton 60ml 299/-,PCS,0.00,0.00,360.00,55310.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,55310.40
Denver Perfume Imperial 60ml 299/-,PCS,0.00,0.00,360.00,55310.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,55310.40
Denver Perfume Original 60ml 249/-,PCS,0.00,0.00,0.00,0.00,480.00,67377.60,480.00,67377.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,67344.00,0.00,0.00,1440.00,202099.20
Doy Hydrating Milk Soap 125gm*4 120/,PCS,30.00,1939.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00,7023.51,0.00,0.00,117.00,8962.57
